Mã tài sản,Tên,Tòa,Khu vực,Tình trạng trước,Tình trạng hiện tại,Người kiểm kê,Ngày kiểm kê,Trạng thái,Ghi chú
TS-0001,Điều hòa Daikin 1.5HP,Tòa Sunrise,A.12.03,Bình thường,Hư hỏng nhẹ,Nguyễn Thị Hương,28/10/2026 17:49,Cần xử lý,"Cửa tủ lạnh bị lệch bản lề, còn hoạt động – đề xuất bảo dưỡng"
TS-0002,Bình nóng lạnh Ariston,Tòa Moonlight,B.05.01,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0003,Thiết bị PCCC Bình chữa cháy,Tòa Riverside,C.08.02,Bình thường,,,,Chưa kiểm kê,
TS-0004,Thang máy (Mitsubishi),Tòa Central,Sảnh tầng 1,Cần thay thế,,,,Chưa kiểm kê,
TS-0005,Đèn chiếu sáng,Tòa Garden,Hành lang,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0006,Camera an ninh,Tòa Sunrise,Khu vực chung,Bình thường,Bình thường,Nguyễn Thị Hương,28/10/2026 17:49,Hoàn thành,
TS-0007,Bàn làm việc,Tòa Moonlight,B.06.04,Bình thường,,,,Chưa kiểm kê,
TS-0008,Ghế văn phòng,Tòa Central,D.07.03,Hư hỏng nhẹ,,,,Chưa kiểm kê,
TS-0009,Tủ điện,Tòa Riverside,Khu kỹ thuật,Bình thường,,,,Chưa kiểm kê,
TS-0010,Máy phát điện,Tòa Garden,Tầng hầm,Cần thay thế,,,,Chưa kiểm kê,
TS-0011,Giường ngủ,Tòa Sunrise,A.12.03,Bình thường,Bình thường,Nguyễn Thị Hương,28/10/2026 17:49,Hoàn thành,
TS-0012,Máy lạnh,Tòa Sunrise,A.12.03,Bình thường,Bình thường,Nguyễn Thị Hương,28/10/2026 17:49,Hoàn thành,
TS-0013,Tủ quần áo,Tòa Sunrise,A.12.03,Bình thường,,,,Chưa kiểm kê,
TS-0014,Bình nóng lạnh,Tòa Sunrise,A.12.03,Bình thường,,,,Chưa kiểm kê,
TS-0015,Giường ngủ,Tòa Moonlight,B.05.01,Bình thường,,,,Chưa kiểm kê,
TS-0016,Máy lạnh,Tòa Moonlight,B.05.01,Bình thường,,,,Chưa kiểm kê,
TS-0017,Tủ quần áo,Tòa Moonlight,B.05.01,Bình thường,,,,Chưa kiểm kê,
TS-0018,Bình nóng lạnh,Tòa Moonlight,B.05.01,Bình thường,,,,Chưa kiểm kê,
TS-0019,Giường ngủ,Tòa Riverside,C.08.02,Bình thường,,,,Chưa kiểm kê,
TS-0020,Máy lạnh,Tòa Riverside,C.08.02,Bình thường,,,,Chưa kiểm kê,
TS-0021,Tủ quần áo,Tòa Riverside,C.08.02,Bình thường,,,,Chưa kiểm kê,
TS-0022,Bình nóng lạnh,Tòa Riverside,C.08.02,Bình thường,,,,Chưa kiểm kê,
TS-0023,Giường ngủ,Tòa Central,D.03.06,Bình thường,,,,Chưa kiểm kê,
TS-0024,Máy lạnh,Tòa Central,D.03.06,Bình thường,,,,Chưa kiểm kê,
TS-0025,Tủ quần áo,Tòa Central,D.03.06,Bình thường,,,,Chưa kiểm kê,
TS-0026,Bình nóng lạnh,Tòa Central,D.03.06,Bình thường,,,,Chưa kiểm kê,
TS-0027,Giường ngủ,Tòa Moonlight,B.05.02,Bình thường,,,,Chưa kiểm kê,
TS-0028,Máy lạnh,Tòa Moonlight,B.05.02,Bình thường,,,,Chưa kiểm kê,
